,Load,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
3,185.6139215217748,186.21477,188.24573,198.97623,206.10255,208.88275,210.06004,209.91342,208.94838,208.13922,207.02441,206.3052,206.72586,206.18558,203.45844,204.64687,204.5267,200.65887,197.02235,191.06714,187.10965,184.02887,183.46535,184.11185,184.12277
4,186.5058059023048,186.62575,189.8046,220.03206,306.78912,377.32306,397.149,402.37994,403.58472,389.05798,393.56726,393.98535,382.80984,350.1095,316.18216,320.59918,353.68695,349.70847,329.28125,282.572,249.41519,207.07854,195.38017,189.63515,187.27238
5,154.65948012828574,155.16016,156.85239,165.79335,171.70169,174.0478,175.02876,174.8778,174.10254,173.42834,172.49937,171.90012,172.25058,171.80046,169.52803,170.51837,170.4182,167.19542,164.16545,159.20328,155.90578,153.33878,152.8692,153.4079,153.42879
6,64.85570181849084,65.06565,65.7753,69.61469,72.01469,72.986084,73.44326,73.34624,73.00902,72.72632,72.3368,72.14396,72.23245,72.04369,71.0908,71.50606,71.46404,70.11414,68.841965,66.76109,65.37833,64.301865,64.10494,64.33025,64.33961
7,239.0009018788972,237.7386,240.7842,282.54633,381.16486,471.16394,491.83545,495.2094,505.12457,480.8574,491.58258,487.80844,477.5705,434.327,394.82428,394.59473,431.73215,427.50302,402.89606,340.1083,308.5052,260.64346,249.6778,239.24278,238.94823
9,95.46469936723597,95.773735,96.818275,102.469765,106.00239,107.432304,108.042755,107.9446,107.46606,107.04988,106.47654,106.106606,106.322975,106.045105,104.64246,105.2537,105.1919,103.19581,101.332306,98.26939,96.23399,94.649475,94.35963,94.69216,94.70506
10,99.33067130106484,99.29753,100.44223,126.297844,188.54355,243.21683,261.33405,273.28522,268.3027,257.2578,260.29288,258.2777,250.28082,226.95235,203.07117,208.78416,238.65187,236.16646,216.03873,179.61374,149.55891,117.39476,108.271996,101.56031,99.73439
11,359.19040900073327,356.50146,359.9665,425.30237,613.10364,760.30853,797.71277,805.12744,819.1681,786.19684,796.8418,793.6929,770.99274,694.2982,623.0532,626.5331,693.8903,690.9566,639.1586,532.757,479.0465,401.13004,378.4653,359.91986,359.0015
12,172.76750336407022,172.08119,173.35007,203.77328,270.28366,326.61954,343.9239,352.42258,352.17136,337.37885,343.8174,342.21518,333.75336,306.74252,277.82907,265.38968,300.5098,298.7623,278.21698,238.02867,217.15349,186.07654,178.04068,173.02975,172.8297
13,286.8391366899154,287.76767,290.90625,307.47614,318.84323,322.62695,324.617,324.3905,323.45367,321.6487,319.9259,318.8145,319.46454,318.62958,314.41528,316.25177,316.06613,310.08878,304.4694,295.26633,289.15054,284.38968,283.51877,284.51788,284.5348
14,118.42012560323248,118.80964,120.109436,127.10964,131.49165,133.27687,134.01656,133.90096,133.30731,132.79117,132.07985,131.621,131.88934,131.54466,129.80481,130.56297,130.48625,128.01022,125.698654,121.89924,119.37438,117.40887,117.049324,117.461815,117.46877
15,157.8935201731827,158.40465,160.13226,169.4795,175.51047,177.6873,178.68875,178.53459,177.74312,177.05482,176.11243,175.49474,175.8525,175.39291,173.07306,174.08403,173.98175,170.68034,167.59824,162.53236,159.16583,156.54515,156.06584,156.61577,156.62506
16,215.5003352635668,215.78194,222.09659,241.70398,266.24966,274.9137,278.61157,278.34604,274.7667,274.6555,272.7436,273.61096,269.96133,275.14484,291.33002,305.71075,316.79102,311.58948,300.364,278.93445,255.67557,230.84543,219.00584,215.45847,214.98665
17,318.9717478724756,320.021,323.49442,341.93445,354.1808,358.95856,361.07166,360.67032,359.0713,357.6808,355.7771,354.52917,355.25195,354.32346,349.6369,351.6482,351.47278,344.82593,338.5769,328.34293,321.54208,316.24786,315.27942,316.3905,316.4092
18,678.4633383500797,677.5406,687.57996,828.91296,1112.466,1391.354,1452.8955,1487.2609,1486.1276,1415.5125,1445.4954,1441.8195,1401.3245,1278.2567,1166.8854,1171.9807,1286.0311,1279.1776,1199.9323,1025.8246,895.7693,752.47144,721.6874,684.18634,679.6722
20,253.85293928712176,254.68791,257.4687,272.11673,282.09833,285.67627,287.28638,287.03857,285.76614,284.6756,283.1348,282.15112,282.72653,281.92365,278.2578,279.85846,279.7187,274.41095,269.4556,261.311,255.8985,251.68517,250.91437,251.79868,251.8136
23,877.3556266755429,875.9561,897.65594,1061.3462,1451.1028,1839.5331,1917.3424,1967.9915,1963.7396,1873.8905,1917.3438,1909.3318,1855.1068,1691.499,1535.3545,1531.3687,1705.5515,1693.6825,1580.2214,1345.329,1178.1183,985.74915,933.6358,886.1174,881.5619
24,126.419140760725,126.828354,128.2198,135.59892,140.52435,142.26723,143.06761,142.9692,142.31195,141.76082,141.00159,140.5117,140.79817,140.43025,138.57707,139.37614,139.30035,136.66902,134.18935,130.13326,127.4378,125.33959,124.95575,125.3961,125.40355
25,180.5043864706827,180.85722,184.65643,202.29758,219.54544,227.0666,229.08224,229.08109,226.03174,225.78333,224.70557,224.73099,222.77367,225.65741,237.13419,247.25214,254.26015,251.09279,242.60803,227.67195,208.55753,191.46179,182.36028,180.35692,179.7845
26,142.77861865981978,141.43138,141.18652,171.61693,233.19373,299.00504,316.5286,324.09058,322.80948,308.85553,315.0084,312.94858,305.36487,278.42664,246.74304,245.7807,275.33582,271.1438,252.27965,207.001,187.43008,158.50726,149.19037,143.06354,142.51314
27,686.97286126959,687.3023,713.8789,797.2295,982.9964,1138.9889,1188.4033,1203.2733,1192.4812,1164.3805,1179.03,1182.7678,1151.7184,1075.9047,1004.7759,1014.5223,1082.1345,1076.8196,1021.11395,911.75775,818.29517,731.29,703.93427,688.46564,686.82996
29,197.36691474313287,198.0058,200.16542,211.56679,219.15288,222.10912,223.50037,223.20511,222.17892,221.31857,220.13316,219.5464,219.81564,219.24118,216.34132,217.59544,217.47723,213.36916,209.49777,203.16542,198.95732,195.68147,195.08223,195.76973,195.78136
30,1149.5885075365395,1144.3932,1144.843,1371.9197,1959.0852,2499.0781,2621.5125,2666.0225,2679.4043,2555.181,2610.516,2631.4475,2516.1997,2258.5796,1928.7865,1844.3539,2143.7085,2114.7593,1980.9866,1614.3242,1444.3567,1249.3533,1206.1873,1162.0126,1158.5526
31,327.7129007566408,328.7907,332.3595,351.2908,363.82416,368.79553,370.87402,370.5541,368.91138,367.48282,365.51453,364.24472,364.98727,364.03342,359.21844,361.30084,361.10458,354.25235,347.85526,337.34097,330.35364,324.9145,323.91934,325.06088,325.08014
32,143.4195683449577,143.88383,145.45312,153.73807,159.42162,161.31348,162.3085,162.19525,161.72684,160.82436,159.96295,159.40726,159.73227,159.31479,157.20764,158.12589,158.03307,155.04439,152.2347,147.63316,144.57527,142.19484,141.75938,142.25894,142.2674
33,1085.9654728970422,1080.2294,1080.5907,1347.499,1920.3586,2497.947,2581.227,2627.2402,2641.584,2514.9226,2582.6797,2582.9648,2469.2202,2224.803,1852.673,1820.0476,2072.026,2090.3362,1934.6288,1554.4249,1380.9272,1189.0853,1140.7716,1092.4648,1090.3597
34,177.7053123692325,177.72101,184.69896,212.14293,245.83061,261.41458,269.08643,268.6312,263.21735,262.9701,259.99783,261.58115,251.92812,264.4138,298.51654,335.86655,353.4042,347.4548,327.37537,291.90152,245.39606,208.26491,186.2141,179.7144,178.48465
