Type,PU Volt,Angle (Deg),Gen MW,Gen Mvar,Load MW,Load Mvar,Gen Mvar(max),Gen Mvar(min),"Slack yes,no",Slack Weight
2,1.032729077,-0.935558499,0.479999897,,0.969824155,0.326484128,10,-10,0,0
2,1.013533879,-2.103804962,4.343242152,,3.591214272,1.180601782,30,-30,0,0
2,1.015655654,-2.053415312,5.158325303,,1.527165045,0.567859322,40,-40,0,0
2,1.013919526,-2.1266334,5.240985646,,2.81629585,0.94279465,40,-40,0,0
2,1.010926633,-2.320069434,0.829772683,,1.132414998,0.38922813,10,-10,0,0
2,1.009424473,-1.885839548,0.497228993,,1.578935202,0.518970904,10,-10,0,0
2,1.016695531,-2.168313178,2.206246773,,2.112909484,0.708315349,40,-40,0,0
2,1.01611957,-8.057624236,0.24999992,,3.189717479,1.048409435,10,-10,0,0
3,1.016103681,-7.811105911,0,,6.772465414,2.230001153,,,0,0
2,1.038024182,2.629077477,1.71E-05,,0,0,20,-20,0,0
3,1.012525226,-5.341681489,0,,2.538529393,0.834374262,,,0,0
3,1.024339669,-2.437037652,0,,0,0,,,0,0
2,1.038132531,2.726396155,15.80002488,,-0.219936238,-2.01E-21,40,-40,0,0
2,1.013630531,-3.114119911,12.02995118,,8.736783278,2.883728491,50,-50,0,0
2,1.022839578,-5.431860013,0.829991675,,1.264191408,0.415519622,20,-20,0,0
2,1.011584103,-2.228672037,2.199842856,,1.805043865,0.593289227,30,-30,0,0
2,1.022144298,-2.228772832,2.865888528,,1.184827278,0.469290625,20,-20,0,0
2,1.014021032,-7.03500827,2.299994499,,6.864850853,2.257970602,10,-10,0,0
3,1.03568722,1.147324827,0,,0,0,,,0,0
2,1.000028637,-9.95E-05,18.01014105,,1.973669147,0.648713678,70,-70,0,0
2,1.014640349,-2.172398028,10.95608432,,11.41859902,3.778514699,30,-30,0,0
2,1.014404677,-2.804375023,0.569938093,,3.247958859,1.077140215,20,-20,0,0
3,1.013038996,-2.226857098,0,,1.434195683,0.471397325,,,0,0
3,1.006027762,-2.41610938,0,,10.77732797,3.569395897,,,0,0
2,1.009118052,-2.406597164,1.119608649,,1.777053124,0.584089116,10,-10,0,0
3,1.025579271,-2.83427285,0,,2.377956038,0.791059772,,,0,0
3,1.036887275,1.3348054,0,,0,0,,,0,0
3,1.038132534,2.726396143,0,,0,0,,,0,0
2,1.038024186,2.629077464,0,,0,0,50,-50,1,1
2,1.035993362,1.145835829,0,,0,0,50,-50,1,1
2,1.022839572,-5.431859977,0,,0,0,50,-50,1,1
2,1.019109304,-7.820659306,0,,0,0,50,-50,1,1
2,1.01402101,-7.035008109,0,,0,0,50,-50,1,1
2,1.014021032,-7.035008257,0,,0,0,50,-50,1,1
2,1.014021049,-7.035008349,0,,0,0,50,-50,1,1
2,1.014404676,-2.804375016,0,,0,0,50,-50,1,1
2,1,,,,0,0,1000,-1000,0,0
2,1,,,,0,0,1000,-1000,0,0
1,1,0,0,,0,0,50,-50,1,1
3,1.027594899,-2.25338488,0,,0,0,,,0,0
2,1.029537085,-2.0775172,1.233293624,,1.861733361,0.611922164,10,-10,0,0
2,1.030713306,-1.950677214,4.90E-07,,1.786924605,0.615265551,20,-20,0,0
3,1.03352189,0.607864849,0,,1.551256023,0.509873198,,,0,0
3,1.028807014,-2.206431682,0,,0.547851131,0.213812849,,,0,0
2,1.036778151,1.236136425,2.58E-05,,1.952330773,0.78872137,40,-40,0,0
3,1.033880036,-0.4241592,0,,0,0,,,0,0
2,1.035848702,0.893101934,0.50000965,,0.757802484,0.314722974,20,-20,0,0
2,1.032654451,-1.013308575,0.479999903,,0.980915744,0.327665683,10,-10,0,0
2,1.013567352,-2.110345809,4.345512103,,3.603610907,1.185521943,30,-30,0,0
2,1.015716112,-2.059018984,5.11451579,,1.47679646,0.570219597,40,-40,0,0
2,1.013962118,-2.124558088,5.240478033,,2.751538183,0.945636102,40,-40,0,0
2,1.010966729,-2.316561155,0.82977626,,1.06976824,0.39040121,10,-10,0,0
2,1.009451064,-1.893586543,0.431689032,,1.583693893,0.52053501,10,-10,0,0
2,1.016728044,-2.174559736,2.205494571,,2.124705144,0.70935532,40,-40,0,0
2,1.016123055,-8.105864835,0.249999925,,3.199330844,1.051569196,10,-10,0,0
3,1.01608593,-7.862570205,0,,6.80051206,2.238308884,,,0,0
2,1.037922663,2.551443741,1.62E-05,,0,0,20,-20,0,0
3,1.012554485,-5.36557717,0,,2.546180168,0.83688895,,,0,0
3,1.024341671,-2.461069245,0,,0,0,,,0,0
2,1.038031191,2.648928307,15.80002356,,-0.244112643,1.84E-20,40,-40,0,0
2,1.013681357,-3.124797477,12.02995494,,8.727522317,2.894554486,50,-50,0,0
2,1.022825846,-5.478889561,0.829992299,,1.268001505,0.41677194,20,-20,0,0
2,1.011621456,-2.233213109,2.199855019,,1.808084732,0.594288712,30,-30,0,0
2,1.022177487,-2.23538216,3.147782313,,1.307118566,0.471299201,20,-20,0,0
2,1.01405591,-7.070967996,2.299994893,,6.887851735,2.265691026,10,-10,0,0
3,1.035601082,1.075911399,0,,0,0,,,0,0
2,1.000028725,-9.98E-05,18.01013137,,1.979617512,0.650668811,70,-70,0,0
2,1.014675094,-2.176294652,10.95074501,,11.46436357,3.798419819,30,-30,0,0
2,1.014462802,-2.811245975,0.569944215,,3.242775415,1.080386566,20,-20,0,0
3,1.013079871,-2.224641759,0,,1.43851815,0.472818051,,,0,0
3,1.006050069,-2.408885459,0,,10.71245268,3.588652786,,,0,0
2,1.009152006,-2.40054098,1.119579434,,1.776118044,0.58378177,10,-10,0,0
3,1.025553834,-2.875424886,0,,2.399366841,0.794035793,,,0,0
3,1.0367948,1.244718103,0,,0,0,,,0,0
3,1.038031195,2.648928294,0,,0,0,,,0,0
2,1.037922667,2.551443729,0,,0,0,50,-50,1,1
2,1.035901516,1.074450043,0,,0,0,50,-50,1,1
2,1.022825841,-5.478889528,0,,0,0,50,-50,1,1
2,1.019106014,-7.872169732,0,,0,0,50,-50,1,1
2,1.01405589,-7.070967848,0,,0,0,50,-50,1,1
2,1.01405591,-7.070967985,0,,0,0,50,-50,1,1
2,1.014055926,-7.07096807,0,,0,0,50,-50,1,1
2,1.014462801,-2.811245969,0,,0,0,50,-50,1,1
2,1,,,,0,0,1000,-1000,0,0
2,1,,,,0,0,1000,-1000,0,0
1,1,0,0,,0,0,50,-50,1,1
3,1.028044179,-2.344592146,0,,0,0,,,0,0
2,1.029913509,-2.191304931,1.277871391,,1.884109945,0.619276991,10,-10,0,0
2,1.030982705,-2.117378025,1.99E-06,,1.824923863,0.636128931,20,-20,0,0
3,1.033715955,0.390588553,0,,1.569900911,0.516001476,,,0,0
3,1.029146105,-2.33826598,0,,0.527993107,0.216382713,,,0,0
2,1.036941836,1.012119527,0.000113725,,2.113282144,0.813401767,40,-40,0,0
3,1.034100281,-0.620269056,0,,0,0,,,0,0
2,1.036008975,0.662256933,0.500043186,,0.811447961,0.318505699,20,-20,0,0
2,1.0328701,-1.201714455,0.47999961,,1.033107394,0.342795906,10,-10,0,0
2,1.014080564,-2.086798694,4.560233014,,3.719812354,1.226445548,30,-30,0,0
2,1.016427815,-2.032239341,5.26217365,,1.441834941,0.586713865,40,-40,0,0
2,1.014428246,-2.127158767,5.263609392,,2.685331689,0.957001911,40,-40,0,0
2,1.011376639,-2.32082359,0.829249103,,0.994759765,0.395093528,10,-10,0,0
2,1.009857916,-1.860669579,0.976134907,,1.602728659,0.526791435,10,-10,0,0
2,1.017281479,-2.152557994,2.412939288,,2.136045276,0.724391024,40,-40,0,0
2,1.016600296,-8.336159254,0.249999698,,3.237784307,1.064208238,10,-10,0,0
3,1.016465207,-8.101218479,0,,7.027313947,2.313935593,,,0,0
2,1.038174767,2.348968105,7.13E-05,,0,0,20,-20,0,0
3,1.013018115,-5.494638292,0,,2.576783268,0.846947703,,,0,0
3,1.024855884,-2.503249433,0,,0,0,,,0,0
2,1.038283351,2.446575844,15.80010332,,-0.272077269,-7.79E-20,40,-40,0,0
2,1.014211125,-3.187343091,12.0298284,,8.976493656,2.995459345,50,-50,0,0
2,1.02334261,-5.661258071,0.829970732,,1.283241894,0.421781214,20,-20,0,0
2,1.012080517,-2.229549458,2.199458744,,1.844083015,0.606120776,30,-30,0,0
2,1.022812652,-2.215488705,3.714702895,,1.304066291,0.487213969,20,-20,0,0
2,1.014578168,-7.262995821,2.299980175,,7.060135282,2.322474314,10,-10,0,0
3,1.035888562,0.888297865,0,,0,0,,,0,0
2,1.000029575,-0.000102763,18.0105451,,2.003410971,0.658489342,70,-70,0,0
2,1.015147509,-2.184962668,10.95907493,,11.74880768,3.918859258,30,-30,0,0
2,1.015108124,-2.821130175,0.569777516,,3.262340094,1.093371971,20,-20,0,0
3,1.013528845,-2.228237716,0,,1.455808017,0.478500955,,,0,0
3,1.006278613,-2.428404076,0,,10.90808979,3.708754713,,,0,0
2,1.009487398,-2.416777745,1.118936814,,1.834872082,0.603093288,10,-10,0,0
3,1.025941736,-2.99376805,0,,2.514900645,0.830149979,,,0,0
3,1.036959404,1.020907379,0,,0,0,,,0,0
3,1.038283355,2.446575831,0,,0,0,,,0,0
2,1.038174785,2.348968042,0,,0,0,50,-50,1,1
2,1.036189274,0.886835575,0,,0,0,50,-50,1,1
2,1.023342575,-5.66125787,0,,0,0,50,-50,1,1
2,1.019622817,-8.111251369,0,,0,0,50,-50,1,1
2,1.014578055,-7.262995031,0,,0,0,50,-50,1,1
2,1.014578156,-7.262995705,0,,0,0,50,-50,1,1
2,1.014578232,-7.262996124,0,,0,0,50,-50,1,1
2,1.015108119,-2.821130139,0,,0,0,50,-50,1,1
2,1,,,,0,0,1000,-1000,0,0
2,1,,,,0,0,1000,-1000,0,0
1,1,0,0,,0,0,50,-50,1,1
3,1.033112453,-2.714788062,0,,0,0,,,0,0
2,1.034867532,-2.709326842,1.279968356,,1.987498048,0.653259017,10,-10,0,0
2,1.035642704,-2.807584778,3.68E-07,,2.090896019,0.742352934,20,-20,0,0
3,1.038229345,-0.366569761,0,,1.656047199,0.544316392,,,0,0
3,1.033948215,-2.886042064,0,,0.467992593,0.228256435,,,0,0
2,1.041444933,0.226859252,2.91E-05,,2.510257186,0.940037402,40,-40,0,0
3,1.038668653,-1.369065541,0,,0,0,,,0,0
2,1.04052095,-0.12289055,0.500011823,,0.883934116,0.335983288,20,-20,0,0
2,1.037409863,-1.952824754,0.479999928,,1.270382269,0.420294138,10,-10,0,0
2,1.01804219,-1.914751742,5.719990559,,4.35256977,1.437913821,30,-30,0,0
2,1.021488119,-1.842808999,6.451453467,,1.59479574,0.671788658,40,-40,0,0
2,1.018091017,-2.167689742,5.619898405,,2.741703041,1.009516156,40,-40,0,0
2,1.014513455,-2.372249011,0.829944406,,0.974892276,0.416773776,10,-10,0,0
2,1.012952392,-1.597079599,4.905198937,,1.690676327,0.555698436,10,-10,0,0
2,1.021777554,-1.969405435,4.139001736,,2.283763193,0.792724064,40,-40,0,0
2,1.02115247,-9.377323391,0.249999945,,3.415453544,1.122605292,10,-10,0,0
3,1.020678631,-9.172811026,0,,8.193973165,2.700171201,,,0,0
2,1.042904817,1.618420362,1.79E-05,,0,0,20,-20,0,0
3,1.016912826,-6.093910924,0,,2.718180927,0.893422866,,,0,0
3,1.029817052,-2.614863796,0,,0,0,,,0,0
2,1.043013637,1.715740814,15.80002583,,-0.371214693,-1.67E-18,40,-40,0,0
2,1.018224105,-3.481291631,12.02997694,,10.49092,3.511656752,50,-50,0,0
2,1.028436331,-6.440197241,0.829995771,,1.353658138,0.444925914,20,-20,0,0
2,1.015577899,-2.172885074,2.199939181,,2.007915585,0.659969937,30,-30,0,0
2,1.028191618,-2.041134605,6.484606493,,1.399467835,0.569688754,20,-20,0,0
2,1.018962623,-8.15275067,2.299996971,,7.925271622,2.606877553,10,-10,0,0
3,1.040644703,0.211639589,0,,0,0,,,0,0
2,1.000036309,-0.00012616,18.01012623,,2.113345564,0.694623096,70,-70,0,0
2,1.018931273,-2.241697064,10.96985628,,13.60866674,4.560964291,30,-30,0,0
2,1.019786975,-2.83586213,0.569962308,,3.422731467,1.153369347,20,-20,0,0
3,1.01705548,-2.273819192,0,,1.535693604,0.504758078,,,0,0
3,1.008186525,-2.602925992,0,,12.70734521,4.350864789,,,0,0
2,1.012087145,-2.559583715,1.119945641,,2.099801344,0.690171326,10,-10,0,0
3,1.030446023,-3.443562087,0,,3.076536672,1.015693168,,,0,0
3,1.04146479,0.236129479,0,,0,0,,,0,0
3,1.043013641,1.715740801,0,,0,0,,,0,0
2,1.042904819,1.618420357,0,,0,0,50,-50,1,1
2,1.040981599,0.210008817,0,,0,0,50,-50,1,1
2,1.028436324,-6.440197201,0,,0,0,50,-50,1,1
2,1.024540807,-9.185031977,0,,0,0,50,-50,1,1
2,1.018962598,-8.1527505,0,,0,0,50,-50,1,1
2,1.018962621,-8.152750649,0,,0,0,50,-50,1,1
2,1.018962638,-8.15275074,0,,0,0,50,-50,1,1
2,1.019786973,-2.83586212,0,,0,0,50,-50,1,1
2,1,,,,0,0,1000,-1000,0,0
2,1,,,,0,0,1000,-1000,0,0
1,1,0,0,,0,0,50,-50,1,1
3,1.042804104,-5.280879286,0,,0,0,,,0,0
2,1.044691945,-5.303907091,1.279999872,,2.06581609,0.679000913,10,-10,0,0
2,1.044627201,-5.495728895,7.92E-09,,2.848345392,1.011397295,20,-20,0,0
3,1.046678936,-2.151537129,0,,1.721304307,0.565765366,,,0,0
3,1.043224519,-5.500715215,0,,0.373840533,0.237250958,,,0,0
2,1.049993032,-1.638541253,1.901435203,,3.438023743,1.264803096,40,-40,0,0
3,1.047330332,-3.719885619,0,,0,0,,,0,0
2,1.049622084,-1.629214069,2.29999698,,0.917070879,0.349222825,20,-20,0,0
2,1.046506044,-4.540820862,0.479999999,,1.903300155,0.629735811,10,-10,0,0
2,1.026596892,-3.940570159,5.759999393,,6.058478965,2.004086039,30,-30,0,0
2,1.037885577,-1.955415928,11.22022055,,2.156209479,0.891457512,40,-40,0,0
2,1.026420221,-4.426586917,5.619999822,,2.783667246,1.049296486,40,-40,0,0
2,1.022462154,-4.139847103,0.8299998,,0.961510395,0.433196889,10,-10,0,0
2,1.020236263,-2.818893031,7.899999706,,1.757298007,0.577595923,10,-10,0,0
2,1.031302102,-3.9852956,8.009999151,,2.462520515,0.872675745,40,-40,0,0
2,1.032550731,-13.3169481,0.249999999,,3.550040662,1.166841938,10,-10,0,0
3,1.030722458,-13.28985323,0,,11.18499359,3.690832494,,,0,0
2,1.049967592,-0.411983534,6.54E-06,,0,0,20,-20,0,0
3,1.027774644,-8.924574862,0,,2.825291778,0.9286285,,,0,0
3,1.039567279,-5.121023181,0,,0,0,,,0,0
2,1.049999966,-0.314730941,15.80000626,,-0.535577899,-1.50E-18,40,-40,0,0
2,1.02931116,-5.661085398,12.02999979,,14.47070198,4.850628908,50,-50,0,0
2,1.040059996,-9.954976115,0.829999949,,1.406999501,0.462458372,20,-20,0,0
2,1.02415718,-3.854817612,2.199999804,,2.193797238,0.721066282,30,-30,0,0
2,1.038782255,-4.306938047,8.409999624,,1.871781707,0.791871408,20,-20,0,0
2,1.030758165,-11.654705,2.299999959,,9.826878636,3.242435535,10,-10,0,0
3,1.048785617,-1.950579943,0,,0,0,,,0,0
2,1.000059806,-0.0002078,28.98048084,,2.196622671,0.721994957,70,-70,0,0
2,1.027256867,-4.669824567,10.96999968,,19.2242058,6.435188431,30,-30,0,0
2,1.03453178,-3.751475411,0.569999567,,3.538159477,1.198818262,20,-20,0,0
3,1.025313952,-4.42795122,0,,1.596208137,0.524648243,,,0,0
3,1.013170034,-4.247749471,0,,18.3711912,6.256612795,,,0,0
2,1.01911506,-4.254690666,1.119999789,,2.462464585,0.809372969,10,-10,0,0
3,1.039109965,-6.29572801,0,,4.603249075,1.521524148,,,0,0
3,1.049999956,-1.631163639,0,,0,0,,,0,0
3,1.04999997,-0.314730954,0,,0,0,,,0,0
2,1.049967581,-0.411983498,0,,0,0,50,-50,1,1
2,1.049566237,-1.954329284,0,,0,0,50,-50,1,1
2,1.040059995,-9.954976113,0,,0,0,50,-50,1,1
2,1.036365363,-13.30753495,0,,0,0,50,-50,1,1
2,1.030758164,-11.654705,0,,0,0,50,-50,1,1
2,1.030758165,-11.654705,0,,0,0,50,-50,1,1
2,1.030758166,-11.65470501,0,,0,0,50,-50,1,1
2,1.03453178,-3.75147541,0,,0,0,50,-50,1,1
2,1,,,,0,0,1000,-1000,0,0
2,1,,,,0,0,1000,-1000,0,0
1,1,0,0,,0,0,50,-50,1,1
3,1.04647901,-2.410866793,0,,0,0,,,0,0
2,1.048968306,-1.821562077,1.279998723,,2.091404127,0.687411294,10,-10,0,0
2,1.047568711,-1.119889121,1.69E-07,,3.418355204,1.260781333,20,-20,0,0
3,1.046354548,4.191616926,0,,1.742625081,0.572773165,,,0,0
3,1.046407696,-1.704115543,0,,0.320151712,0.240189645,,,0,0
2,1.049996542,5.602485062,10.7882656,,4.184387621,1.571395872,40,-40,0,0
3,1.048409311,1.89394569,0,,0,0,,,0,0
2,1.049895192,5.191915596,2.299983752,,0.918047607,0.353548441,20,-20,0,0
2,1.049978708,0.353139706,0.479999969,,2.403675119,0.825474416,10,-10,0,0
2,1.030722611,-4.533977459,5.759997044,,7.530903818,2.544927966,30,-30,0,0
2,1.049999767,1.127933152,18.09999033,,2.623854772,1.101334128,40,-40,0,0
2,1.030276245,-5.264918824,5.619999009,,2.784360187,1.062293499,40,-40,0,0
2,1.026080393,-4.832413178,0.829999021,,0.955964221,0.438562642,10,-10,0,0
2,1.023640514,-3.219293941,7.899998918,,1.779064615,0.584750261,10,-10,0,0
2,1.036210446,-4.227806893,8.009995814,,2.52602036,0.905513093,40,-40,0,0
2,1.041031137,-13.24285781,0.249999977,,3.594012909,1.181294917,10,-10,0,0
3,1.038594014,-13.05021222,0,,13.75205972,4.615170542,,,0,0
2,1.049999617,6.273579051,3.193943919,,0,0,20,-20,0,0
3,1.034776239,-9.084768216,0,,2.86028699,0.94013087,,,0,0
3,1.045080118,-3.442991895,0,,0,0,,,0,0
2,1.049999514,6.3722928,15.80035653,,-0.762878645,2.47E-20,40,-40,0,0
2,1.036188586,-5.703937833,12.02999817,,17.583776,6.103704867,50,-50,0,0
2,1.049987153,-8.809962106,0.829999327,,1.424427169,0.468186569,20,-20,0,0
2,1.028312999,-4.335159071,2.199999174,,2.269245864,0.745865046,30,-30,0,0
2,1.04543022,-3.23431338,8.409997565,,2.297933029,1.005364795,20,-20,0,0
2,1.038136528,-11.93778895,2.299999485,,11.13279104,3.810837693,10,-10,0,0
3,1.048632319,3.723425804,0,,0,0,,,0,0
2,1.000071979,-0.000250091,33.99999306,,2.223830932,0.73093788,70,-70,0,0
2,1.031134978,-5.558824211,10.96999811,,24.59350416,8.324885566,30,-30,0,0
2,1.045880587,-1.875925671,0.569997094,,3.591646178,1.213667312,20,-20,0,0
3,1.029119983,-5.235093224,0,,1.61597942,0.531146749,,,0,0
3,1.013809466,-5.119761895,0,,23.82621649,8.183078111,,,0,0
2,1.021218732,-5.075566208,1.119999014,,2.619542593,0.861002013,10,-10,0,0
3,1.042762186,-4.149098907,0,,5.904839617,1.997218374,,,0,0
3,1.049999884,5.60341115,0,,0,0,,,0,0
3,1.049999517,6.372292788,0,,0,0,,,0,0
